 4.292	   0.616	      26
 4.312	   0.901	      38
 4.332	   0.901	      38
 4.352	   0.924	      39
 4.372	   0.995	      42
 4.392	   0.972	      41
 4.412	   0.735	      31
 4.432	   1.114	      47
 4.452	   0.901	      38
 4.472	   0.782	      33
 4.492	   0.972	      41
 4.512	   0.640	      27
 4.532	   1.114	      47
 4.552	   0.616	      26
 4.572	   0.640	      27
 4.592	   0.664	      28
 4.612	   0.545	      23
 4.632	   0.474	      20
 4.652	   0.735	      31
 4.672	   0.806	      34
 4.692	   0.806	      34
 4.712	   0.569	      24
 4.732	   0.687	      29
 4.752	   0.545	      23
 4.772	   0.569	      24
 4.792	   0.782	      33
 4.812	   0.569	      24
 4.832	   0.593	      25
 4.852	   0.782	      33
 4.872	   0.569	      24
 4.892	   0.474	      20
 4.912	   0.640	      27
 4.932	   0.640	      27
 4.952	   0.735	      31
 4.972	   0.521	      22
 4.992	   1.067	      45
 5.012	   0.450	      19
 5.032	   0.521	      22
 5.052	   0.593	      25
 5.072	   0.450	      19
 5.092	   0.474	      20
 5.112	   0.545	      23
 5.132	   0.474	      20
 5.152	   0.284	      12
 5.172	   0.427	      18
 5.192	   0.332	      14
 5.212	   0.308	      13
 5.232	   0.332	      14
 5.252	   0.474	      20
 5.273	   0.284	      12
 5.293	   0.237	      10
 5.313	   0.284	      12
 5.333	   0.379	      16
 5.353	   0.474	      20
 5.373	   0.498	      21
 5.393	   0.332	      14
 5.413	   0.427	      18
 5.433	   0.450	      19
 5.453	   0.308	      13
 5.473	   0.593	      25
 5.493	   0.261	      11
 5.513	   0.190	       8
 5.533	   0.521	      22
 5.553	   0.284	      12
 5.573	   0.403	      17
 5.593	   0.332	      14
 5.613	   0.356	      15
 5.633	   0.261	      11
 5.653	   0.332	      14
 5.673	   0.379	      16
 5.693	   0.545	      23
 5.713	   0.308	      13
 5.733	   0.450	      19
 5.753	   0.403	      17
 5.773	   0.261	      11
 5.793	   0.308	      13
 5.813	   0.450	      19
 5.833	   0.308	      13
 5.853	   0.332	      14
 5.873	   0.379	      16
 5.893	   0.261	      11
 5.913	   0.427	      18
 5.933	   0.403	      17
 5.953	   0.237	      10
 5.973	   0.213	       9
 5.993	   0.403	      17
 6.013	   0.190	       8
 6.033	   0.498	      21
 6.053	   0.356	      15
 6.073	   0.308	      13
 6.093	   0.356	      15
 6.113	   0.261	      11
 6.133	   0.450	      19
 6.153	   0.474	      20
 6.173	   0.569	      24
 6.193	   0.758	      32
 6.213	   0.806	      34
 6.233	   1.256	      53
 6.253	   1.541	      65
 6.273	   1.161	      49
 6.293	   2.062	      87
 6.313	   1.730	      73
 6.333	   2.204	      93
 6.353	   2.465	     104
 6.373	   2.536	     107
 6.393	   3.247	     137
 6.413	   2.418	     102
 6.433	   2.038	      86
 6.453	   2.228	      94
 6.473	   2.038	      86
 6.493	   1.991	      84
 6.513	   1.612	      68
 6.533	   1.233	      52
 6.553	   1.138	      48
 6.573	   0.853	      36
 6.593	   0.616	      26
 6.613	   0.474	      20
 6.633	   0.427	      18
 6.653	   0.356	      15
 6.673	   0.356	      15
 6.693	   0.261	      11
 6.713	   0.284	      12
 6.733	   0.284	      12
 6.753	   0.308	      13
 6.773	   0.119	       5
 6.793	   0.356	      15
 6.813	   0.237	      10
 6.833	   0.284	      12
 6.853	   0.356	      15
 6.873	   0.569	      24
 6.893	   0.190	       8
 6.913	   0.545	      23
 6.933	   0.332	      14
 6.953	   0.616	      26
 6.973	   0.569	      24
 6.993	   0.569	      24
 7.013	   0.640	      27
 7.033	   0.569	      24
 7.053	   0.758	      32
 7.073	   0.782	      33
 7.093	   0.711	      30
 7.113	   0.545	      23
 7.133	   0.830	      35
 7.153	   0.498	      21
 7.173	   0.664	      28
 7.193	   0.450	      19
 7.213	   0.450	      19
 7.233	   0.569	      24
 7.253	   0.521	      22
 7.273	   0.403	      17
 7.293	   0.521	      22
 7.313	   0.379	      16
 7.333	   0.545	      23
 7.353	   0.545	      23
 7.373	   0.569	      24
 7.393	   0.498	      21
 7.413	   0.640	      27
 7.433	   0.450	      19
 7.453	   0.545	      23
 7.473	   0.711	      30
 7.493	   0.521	      22
 7.513	   0.545	      23
 7.533	   0.569	      24
 7.553	   0.711	      30
 7.573	   0.498	      21
 7.593	   0.521	      22
 7.613	   0.640	      27
 7.633	   0.569	      24
 7.653	   0.498	      21
 7.673	   0.498	      21
 7.693	   0.593	      25
 7.713	   0.664	      28
 7.733	   0.498	      21
 7.753	   0.545	      23
 7.773	   0.569	      24
 7.793	   0.711	      30
 7.813	   0.853	      36
 7.833	   0.877	      37
 7.853	   0.545	      23
 7.873	   0.687	      29
 7.893	   0.687	      29
 7.913	   0.687	      29
 7.933	   0.948	      40
 7.953	   0.901	      38
 7.973	   1.043	      44
 7.993	   0.664	      28
 8.013	   0.735	      31
 8.034	   0.830	      35
 8.054	   0.924	      39
 8.074	   0.687	      29
 8.094	   0.830	      35
 8.114	   0.995	      42
 8.134	   0.972	      41
 8.154	   0.593	      25
 8.174	   0.901	      38
 8.194	   0.806	      34
 8.214	   0.830	      35
 8.234	   0.972	      41
 8.254	   0.498	      21
 8.274	   0.664	      28
 8.294	   0.664	      28
 8.314	   0.450	      19
 8.334	   0.474	      20
 8.354	   0.498	      21
 8.374	   0.450	      19
 8.394	   0.593	      25
 8.414	   0.356	      15
 8.434	   0.237	      10
 8.454	   0.284	      12
 8.474	   0.427	      18
 8.494	   0.119	       5
 8.514	   0.261	      11
 8.534	   0.261	      11
 8.554	   0.237	      10
 8.574	   0.261	      11
 8.594	   0.213	       9
 8.614	   0.284	      12
 8.634	   0.213	       9
 8.654	   0.119	       5
 8.674	   0.142	       6
 8.694	   0.142	       6
 8.714	   0.213	       9
 8.734	   0.166	       7
 8.754	   0.213	       9
 8.774	   0.142	       6
 8.794	   0.356	      15
